id,venda_id,produto_nome,categoria,quantidade,valor_unitario,valor_total,sku,produto_id,item_estoque_id,arma_cliente_id
761,630,CART CBC .22LR CHOG 40GR TARGET C,Munição,50,0.49,24.50,,,,
762,631,MUN CBC 38SPL CHOG 158GR - ORÇ,Produtos Simples,1000,9.49,9490.00,,,,
763,632,CART CBC 12/70 SUPER VELOX CH-3T,Munição,25,8.15,203.75,,,,
764,633,MUN CBC .380 AUTO ETOG 95GR TREINA C,Munição,50,5.85,292.50,,,,
765,634,MUN CBC .38SPL ETPP 158GR TREINA,Munição,100,6.11,611.00,,,,
766,635,CART CBC .22LR CHOG 40GR TARGET C,Munição,50,1.49,74.50,,,,
767,635,CART CBC 22WMR EXPO 40GR HUNTER C,Munição,50,4.69,234.50,,,,
768,635,CART CBC 22WMR ETOG 40GR TARGET C,Munição,100,4.69,469.00,,,,
769,635,CART CBC .22LR CHPO 40GR HUNTER SUBS CX 50,Munição,50,1.71,85.50,,,,
770,636,CART CBC 22WMR EXPO 40GR HUNTER C,Munição,100,4.69,469.00,,,,
771,636,CART CBC 22WMR ETOG 40GR TARGET C,Munição,50,4.69,234.50,,,,
772,637,MUN CBC 9MM LUGER ETOG 124GR TREINA C,Munição,50,5.75,287.50,,,,
773,638,MUN CBC 9MM LUGER ETOG 124GR TREINA C,Munição,50,5.75,287.50,,,,
774,639,CARREGADOR 11T CAL. MECGAR GX4,Produtos Simples,1,100.00,100.00,,,,
775,640,MUN CBC 9MM LUGER ETOG 124GR TREINA C,Munição,100,2.75,275.00,,,,
776,640,MUN CBC .380 AUTO ETOG 95GR TREINA C,Munição,200,2.85,570.00,,,,
777,641,MUN CBC 9MM LUGER ETOG 124GR TREINA C,Munição,50,5.75,287.50,,,,
778,642,MUN CCI 17HMR POLY TIP 17GR,Munição,100,8.30,830.00,,,,
779,643,CARREGADOR 11T CAL. MECGAR GX4,Produtos Controlados,1,292.00,292.00,,,,
780,644,MUN CBC .380 AUTO+P EXPO 85GR G. HEX BLST C,Munição,20,15.53,310.60,,,,
781,645,MUN CBC .380 AUTO ETOG 95GR TREINA C,Munição,50,5.85,292.50,,,,
782,646,MUN CBC 38SPL EXPO 158GR BLST C,Munição,50,11.75,587.50,,,,
783,647,MUN CBC .380 AUTO+P EXPO 85GR G. HEX BLST C,Munição,30,15.53,465.90,,,,
784,648,CART CBC .22LR CHOG 40GR TARGET C,Munição,100,0.49,49.00,,,,
785,649,MUN CBC 38SPL CHOG 158GR BLST C,Munição,200,3.42,684.00,,,,
786,650,CART CBC .22LR CHOG 40GR TARGET C,Munição,150,0.49,73.50,,,,
787,650,MUN CBC 9MM LUGER ETOG 124GR TREINA C,Munição,50,2.75,137.50,,,,
788,651,MUN CBC 9MM LUGER ETOG 124GR,Munição,100,2.65,265.00,,,,
789,652,CART CBC .22LR CHPO 33gr HUNTER HYPER,Munição,100,0.84,84.00,,,,
790,652,CART CBC .22LR CHPO 40GR HUNTER SUBS CX 50,Munição,100,0.71,71.00,,,,
791,652,MUN CBC 9MM LUGER ETOG 124GR,Munição,100,3.65,365.00,,,,
792,653,CART CBC 28/70 CH-T PLAST,Munição,50,2.50,125.00,,,,
793,654,MUN CBC 9MM LUGER ETOG 124GR TREINA C,Munição,50,5.75,287.50,,,,
794,654,MUN CBC .380 AUTO ETOG 95GR TREINA C,Munição,50,5.85,292.50,,,,
795,655,MUN CBC 9MM LUGER ETOG 124GR TREINA C,Munição,50,5.75,287.50,,,,
796,656,CART CBC 22WMR EXPO 40GR HUNTER C,Munição,100,4.69,469.00,,,,
797,657,CART CBC 22WMR EXPO 40GR HUNTER C,Munição,100,4.69,469.00,,,,
798,658,CART CBC 22WMR EXPO 40GR HUNTER C,Munição,100,4.69,469.00,,,,
799,659,CART CBC 28/70 CH-T PLAST,Munição,25,6.89,172.25,,,,
800,660,CART CBC .22LR CHOG 40GR TARGET C,Munição,200,1.49,298.00,,,,
801,661,MUN CBC .38TPC ETOG 124GR BLIS C,Munição,100,6.40,640.00,,,,
802,662,CART CBC 22WMR EXPO 40GR HUNTER C,Munição,50,4.69,234.50,,,,
803,663,CART CBC 28/70 CH-T PLAST,Munição,25,6.89,172.25,,,,
804,664,PÓLVORA CBC 266 EMB. 1KG,Produtos Controlados,1,500.00,500.00,,,,
805,664,CART CBC 28/70 CH-T PLAST,Munição,50,4.89,244.50,,,,
806,665,PÓLVORA CBC 216 EMB. 1KG,Produtos Controlados,1,500.00,500.00,,,,
807,666,MUN CBC .380 AUTO ETOG 95GR TREINA C,Munição,50,5.85,292.50,,,,
808,667,CART CBC .22LR CHPO 40GR HUNTER SUBS CX 50,Munição,50,1.71,85.50,,,,
809,668,MUN CBC .380 AUTO+P EXPO 85GR G. HEX BLST C,Munição,20,15.53,310.60,,,,
810,668,CART CBC .22LR CHPO 33gr HUNTER HYPER,Munição,150,1.84,276.00,,,,
811,668,MUN CBC .380 AUTO ETOG 95GR BLST C,Munição,140,7.65,1071.00,,,,
812,668,MUN CBC .380 AUTO ETOG 95GR TREINA C,Munição,100,5.85,585.00,,,,
813,668,CART CBC .22LR CHPO 40GR HUNTER SUBS CX 50,Munição,150,1.71,256.50,,,,
814,669,"CARABINA PRESSÃO JADE NEW 5,5MM OX PP MI",Produtos Simples,1,395.00,395.00,,,,
815,670,MUN CBC 9MM LUGER ETOG 124GR TREINA C,Munição,50,5.75,287.50,,,,
816,671,COFRE GRANDE CHAVE/CODIGO,Produtos Simples,1,1100.00,1100.00,,,,
817,672,"CARABINA PRESSÃO JADE MAIS 5,5MM OX PP",Produtos Simples,1,760.00,760.00,,,,
818,673,CART CBC 12/70 SUPER VELOX CH-3T,Munição,25,4.15,103.75,,,,
819,674,MUN CBC .380 AUTO ETOG 95GR BLST C,Munição,20,7.65,153.00,,,,
820,675,MUN CBC .380 AUTO+P EXPO 85GR G. HEX BLST C,Munição,10,8.00,80.00,,,,
821,675,MUN CBC .380 AUTO ETOG 95GR BLST C,Munição,20,5.00,100.00,,,,
